,Breed,Gender,Neutered_or_spayed,Fur_colour_dominant,Fur_pattern,Eye_colour,Allowed_outdoor,Preferred_food,Country,Age_in_years,Body_length,Weight,Owner_play_time_minutes,Sleep_time_hours,Latitude,Longitude
42,Angora,male,False,white,solid,blue,FALSE,dry,France,1.83,41.0,4.7,45.0,20.0,43.61166,3.87771
43,Ankora,male,True,black,bicolor,amber,TRUE,wet,France,1.83,24.0,4.3,30.0,16.0,48.864716,2.349014
44,Ankora,male,False,white,solid,amber,FALSE,dry,France,1.92,35.0,2.7,21.0,18.0,43.61166,3.87771
45,Ankora,male,True,white,solid,amber,FALSE,wet,France,1.92,33.0,3.4,14.0,16.0,44.837789,-0.57918
46,Angora,female,False,black,solid,green,FALSE,wet,France,2.0,32.0,2.4,11.0,14.0,47.218371,-1.553621
47,Angora,female,True,white,solid,blue,FALSE,wet,France,2.0,35.0,3.8,15.0,14.0,48.864716,2.349014
48,Angora,male,True,white,solid,blue,TRUE,dry,France,2.0,38.0,3.7,23.0,16.0,44.837789,-0.57918
49,Angora,female,False,white,solid,amber,FALSE,wet,France,2.08,33.0,2.9,36.0,14.0,48.864716,2.349014
50,Angora,male,False,black,solid,cute,FALSE,wet,France,2.08,41.0,4.1,11.0,16.0,48.864716,2.349014
51,Angora,female,True,white,solid,blue,FALSE,wet,France,2.17,35.0,2.6,28.0,17.0,48.864716,2.349014
52,Angora,male,False,red/cream,tabby,blue,FALSE,wet,France,2.25,38.0,4.6,11.0,14.0,44.837789,-0.57918
53,Angora,female,False,black,solid,green,FALSE,wet,France,2.25,34.0,3.7,10.0,14.0,43.61166,3.87771
54,Angora,male,True,white,solid,amber,FALSE,wet,France,2.25,25.0,3.1,39.0,16.0,47.218371,-1.553621
55,Angora,male,True,white,solid,amber,FALSE,wet,Vive la France!,2.25,38.0,5.3,39.0,14.0,48.864716,2.349014
56,Angora,female,False,red/cream,solid,blue,FALSE,dry,France,2.33,36.0,4.0,19.0,14.0,47.218371,-1.553621
57,Angora,female,False,white,dirty,blue,FALSE,wet,France,2.33,36.0,2.4,19.0,16.0,45.76342,4.834277
58,Angora,male,True,white,solid,blue,FALSE,wet,France,2.33,39.0,3.9,34.0,14.0,45.76342,4.834277
59,Ragdoll,female,True,white,solid,amber,FALSE,dry,France,2.33,36.0,3.3,32.0,17.0,45.76342,4.834277
60,Ragdoll,female,True,black,solid,green,TRUE,dry,France,2.33,39.0,2.7,33.0,14.0,43.296482,5.36978
61,Ragdoll,male,False,white,solid,blue,FALSE,wet,France,2.42,39.0,4.3,37.0,14.0,48.864716,2.349014
62,Ragdoll,female,True,white,solid,green,FALSE,wet,France,2.5,35.0,3.6,18.0,14.0,44.837789,-0.57918
63,Ragdoll,male,False,white,solid,amber,FALSE,wet,France,2.5,37.0,4.7,44.0,16.0,44.837789,-0.57918
64,Ragdoll,male,True,red/cream,solid,blue,FALSE,wet,France,2.58,40.0,4.5,38.0,14.0,48.864716,2.349014
65,Ragdoll,male,True,seal,solid,blue,FALSE,wet,France,2.58,43.903435468895076,5.740900649953575,30.0,16.0,44.837789,-0.57918
66,Angora,female,True,red/cream,solid,blue,FALSE,wet,France,2.67,38.0,3.9,37.0,14.0,44.837789,-0.57918
67,Angora,male,False,black,solid,blue,FALSE,dry,France,2.67,40.0,4.0,30.0,14.0,43.296482,5.36978
68,Angora,female,True,black,solid,green,TRUE,dry,France,2.67,34.0,3.9,21.0,14.0,45.76342,4.834277
69,Angora,female,True,white,solid,green,TRUE,wet,France,2.92,34.0,4.1,28.0,14.0,43.296482,5.36978
70,Angora,female,True,white,solid,amber,FALSE,wet,France,2.92,32.0,2.5,33.0,14.0,48.864716,2.349014
71,Angora,male,True,white,solid,amber,FALSE,wet,USA,2.92,41.0,3.8,21.0,14.0,40.71427,-74.00597
72,Angora,male,False,white,solid,blue,FALSE,wet,USA,2.92,39.0,4.1,28.0,14.0,40.71427,-74.00597
73,Angora,male,True,white,solid,green,FALSE,dry,USA,3.0,39.0,4.4,16.0,15.0,40.71427,-74.00597
74,Angora,male,False,white,solid,blue,FALSE,wet,USA,3.0,39.0,4.8,44.0,14.0,37.77493,-122.41942
75,Angora,male,True,red/cream,tabby,blue,FALSE,dry,USA,3.08,39.0,5.1,25.0,16.0,47.60621,-122.33207
76,Ankora,male,True,black,solid,green,TRUE,wet,USA,3.08,38.0,3.7,25.0,14.0,47.60621,-122.33207
77,Ankora,male,True,white,solid,blue,FALSE,dry,France,3.08,40.0,5.3,11.0,14.0,44.837789,-0.57918
78,Ankora,female,False,white,solid,amber,FALSE,wet,USA,3.17,36.0,4.0,11.0,14.0,40.71427,-74.00597
79,Angora,male,False,black,bicolor,blue,FALSE,wet,USA,3.25,40.0,4.5,12.0,16.0,47.60621,-122.33207
80,Angora,male,True,white,solid,amber,FALSE,dry,USA,3.42,41.0,4.4,24.0,17.0,45.52345,-122.67621
81,Angora,male,True,black,solid,blue,FALSE,wet,USA,3.5,39.0,4.8,15.0,16.0,45.52345,-122.67621
82,Angora,male,True,white,solid,green,TRUE,dry,USA,3.5,40.0,3.9,13.0,16.0,47.60621,-122.33207
83,Angora,female,False,white,solid,amber,FALSE,dry,USA,3.5,33.0,4.3,37.0,14.0,41.881832,-87.623177
84,Angora,female,True,white,solid,blue,FALSE,dry,France,3.58,35.0,3.4,23.0,16.0,48.864716,2.349014
85,Angora,female,True,white,solid,blue,FALSE,wet,USA,3.58,34.0,3.3,20.0,14.0,41.881832,-87.623177
86,Angora,male,False,white,solid,amber,FALSE,wet,USA,3.67,39.0,4.5,23.0,14.0,47.60621,-122.33207
87,Angora,male,False,white,solid,amber,FALSE,wet,France,3.67,37.0,4.6,32.0,14.0,43.61166,3.87771
88,Ragdoll,male,True,white,solid,blue,FALSE,wet,USA,3.67,37.0,4.2,33.0,14.0,37.77493,-122.41942
89,Angora,male,True,white,solid,blue,FALSE,wet,USA,3.75,43.0,3.9,38.0,14.0,39.29038,-76.61219
90,Angora,male,False,white,solid,green,FALSE,wet,USA,3.83,37.0,4.1,38.0,16.0,38.89511,-77.03637
91,Angora,male,True,black,bicolor,amber,TRUE,wet,USA,3.83,40.0,4.8,11.0,15.0,40.71427,-74.00597
92,Angora,male,False,red/cream,tabby,blue,FALSE,dry,France,4.460752487562499,39.0,4.0,18.0,14.0,47.218371,-1.553621
93,Ragdoll,female,True,white,solid,amber,FALSE,dry,USA,3.92,34.0,4.7,25.0,14.0,40.71427,-74.00597
94,Angora,female,True,black,solid,amber,FALSE,dry,USA,4.460752487562499,37.0,3.3,25.0,15.0,42.35843,-71.05977
95,Angora,female,True,white,solid,blue,FALSE,wet,USA,4.460752487562499,35.0,2.8,28.0,14.0,38.89511,-77.03637
96,Angora,male,True,white,solid,blue,FALSE,wet,USA,3.92,39.0,4.4,23.0,15.0,41.881832,-87.623177
97,Angora,male,True,white,solid,green,FALSE,wet,USA,4.0,36.0,4.8,28.0,17.0,38.89511,-77.03637
98,Ragdoll,male,False,white,solid,green,FALSE,wet,USA,4.08,37.0,4.8,38.0,14.0,39.29038,-76.61219
99,Angora,female,True,white,solid,blue,FALSE,wet,USA,4.08,35.0,4.7,11.0,14.0,40.71427,-74.00597
100,Angora,male,True,white,solid,blue,FALSE,wet,USA,4.08,37.0,5.6,12.0,14.0,42.35843,-71.05977
101,Angora,female,True,white,solid,amber,FALSE,dry,USA,4.17,37.0,3.8,23.0,14.0,42.35843,-71.05977
102,Angora,male,True,white,solid,amber,FALSE,wet,USA,4.17,41.0,4.5,24.0,16.0,38.89511,-77.03637
103,Angora,female,True,white,solid,amber,TRUE,dry,USA,4.17,35.0,2.8,28.0,14.0,45.52345,-122.67621
104,Angora,male,True,white,solid,amber,FALSE,dry,France,-4.25,37.0,4.6,36.0,14.0,45.76342,4.834277
105,Angora,female,True,white,solid,cute,FALSE,wet,USA,-4.333333333,34.0,4.3,37.0,16.0,42.35843,-71.05977
106,Angora,female,True,black,solid,amber,FALSE,wet,USA,-4.333333333,35.0,3.8,30.0,14.0,45.52345,-122.67621
107,Angora,female,True,white,solid,blue,FALSE,wet,USA,-4.333333333,32.0,2.4,40.0,14.0,47.60621,-122.33207
108,Angora,male,False,white,solid,blue,FALSE,wet,USA,-4.416666667,39.0,4.4,34.0,16.0,38.89511,-77.03637
109,Angora,male,True,white,solid,amber,FALSE,dry,USA,-4.5,41.0,5.1,19.0,14.0,40.71427,-74.00597
110,Angora,male,False,white,solid,blue,FALSE,wet,USA,-4.5,39.0,4.3,39.0,16.0,37.77493,-122.41942
111,Angora,female,False,white,dirty,blue,FALSE,wet,USA,-4.583333333,35.0,3.4,36.0,14.0,40.71427,-74.00597
112,Angora,female,True,white,solid,amber,TRUE,wet,USA,4.58,37.0,2.5,39.0,17.0,38.89511,-77.03637
113,Angora,male,False,white,solid,amber,FALSE,dry,USA,4.58,35.0,4.3,36.0,17.0,38.89511,-77.03637
114,Angora,female,True,white,solid,cute,FALSE,dry,USA,4.58,37.0,3.4,24.0,14.0,38.89511,-77.03637
115,Angora,male,True,red/cream,solid,blue,FALSE,wet,USA,4.58,38.0,5.1,17.0,14.0,38.89511,-77.03637
116,Angora,female,False,white,solid,amber,FALSE,wet,USA,4.75,38.0,3.9,14.0,16.0,40.71427,-74.00597
117,Angora,female,True,white,solid,amber,FALSE,dry,USA,4.75,38.0,3.1,23.0,14.0,38.89511,-77.03637
118,Angora,male,False,white,solid,blue,FALSE,dry,USA,4.75,37.0,4.0,32.0,16.0,40.71427,-74.00597
119,Angora,male,True,white,solid,amber,FALSE,wet,USA,4.83,40.0,4.5,18.0,14.0,37.77493,-122.41942
120,Angora,female,True,white,solid,amber,FALSE,wet,France,4.83,37.0,3.0,20.0,14.0,43.296482,5.36978
121,Angora,male,False,white,solid,blue,FALSE,wet,USA,4.83,36.0,3.7,32.0,17.0,38.89511,-77.03637
122,Angora,male,True,white,solid,green,FALSE,dry,USA,4.92,36.0,4.4,29.0,16.0,40.71427,-74.00597
123,Angora,male,False,white,solid,amber,FALSE,wet,USA,4.92,41.0,4.9,14.0,14.0,38.89511,-77.03637
124,Angora,male,True,red/cream,tabby,amber,TRUE,wet,USA,4.92,40.0,4.0,31.0,14.0,40.71427,-74.00597
125,Angora,female,True,white,solid,blue,FALSE,wet,USA,4.92,38.0,4.6,28.0,17.0,41.881832,-87.623177
126,Angora,female,True,white,solid,blue,FALSE,dry,USA,5.0,39.0,4.7,32.0,14.0,40.71427,-74.00597
127,Angora,male,True,white,solid,amber,FALSE,dry,USA,5.0,37.0,5.2,29.0,14.0,45.52345,-122.67621
128,Ankora,male,True,white,solid,amber,FALSE,wet,USA,5.08,40.0,4.7,31.0,14.0,42.35843,-71.05977
129,Ankora,female,False,white,solid,blue,FALSE,wet,USA,5.08,39.0,3.4,27.0,16.0,42.35843,-71.05977
130,Ankora,female,True,white,solid,blue,FALSE,dry,USA,5.08,37.0,3.1,29.0,14.0,40.71427,-74.00597
131,Ankora,female,False,white,solid,blue,FALSE,dry,Germany,5.17,39.0,3.9,35.0,17.0,50.110924,8.682127
132,Angora,female,True,white,solid,green,FALSE,dry,Germany,5.17,34.0,3.4,9.0,14.0,52.520008,13.404954
133,Angora,female,True,white,solid,green,TRUE,wet,Germany,5.17,38.0,3.9,9.0,14.0,48.137154,11.576124
134,Angora,female,False,white,solid,amber,FALSE,wet,Germany,5.17,38.0,2.7,27.0,14.0,48.137154,11.576124
135,Angora,male,True,white,solid,amber,FALSE,wet,Germany,5.17,36.0,4.3,19.0,14.0,48.137154,11.576124
136,Angora,male,True,white,solid,blue,FALSE,wet,Germany,5.17,40.0,4.9,39.0,14.0,50.110924,8.682127
137,Ragdoll,male,False,white,solid,blue,FALSE,wet,Germany,5.17,36.0,3.5,37.0,14.0,52.520008,13.404954
138,Ragdoll,female,False,white,solid,blue,FALSE,wet,Germany,5.17,39.0,4.1,17.0,16.0,50.110924,8.682127
139,Ragdoll,female,True,white,solid,blue,FALSE,wet,Germany,5.25,31.0,2.4,29.0,16.0,48.137154,11.576124
140,Ragdoll,female,False,white,solid,blue,FALSE,dry,Germany,5.25,37.0,3.1,23.0,14.0,52.520008,13.404954
141,Ragdoll,female,True,white,solid,blue,FALSE,dry,Germany,5.33,35.0,3.4,26.0,14.0,50.110924,8.682127
142,Ragdoll,male,False,white,solid,blue,FALSE,wet,Germany,5.33,36.0,4.5,9.0,14.0,52.520008,13.404954
143,Ragdoll,female,True,white,solid,blue,TRUE,dry,Germany,5.33,37.0,2.9,16.0,14.0,48.137154,11.576124
144,Ragdoll,male,True,black,solid,amber,FALSE,wet,Germany,5.42,38.0,4.3,23.0,17.0,50.110924,8.682127
145,Angora,female,False,white,solid,blue,FALSE,wet,Germany,5.42,39.0,4.1,27.0,17.0,51.227741,6.773456
146,Angora,male,True,white,solid,green,FALSE,dry,Germany,5.5,40.0,5.2,17.0,14.0,52.520008,13.404954
147,Angora,male,False,black,solid,blue,FALSE,wet,Germany,5.58,40.0,4.4,27.0,14.0,52.520008,13.404954
148,Angora,male,True,white,solid,cute,FALSE,wet,Germany,5.67,39.0,5.5,12.0,14.0,52.520008,13.404954
149,Angora,male,False,white,solid,blue,FALSE,dry,Germany,5.67,41.0,4.3,24.0,14.0,50.110924,8.682127
150,Angora,male,True,white,solid,green,FALSE,dry,Germany,5.67,36.0,5.1,37.0,14.0,52.520008,13.404954
151,Angora,male,True,red/cream,tabby,blue,FALSE,wet,Germany,5.67,37.0,5.3,37.0,15.0,51.227741,6.773456
152,Angora,male,False,white,solid,amber,FALSE,dry,Germany,5.75,39.0,4.4,39.0,15.0,50.110924,8.682127
153,Angora,female,True,black,bicolor,amber,FALSE,dry,USA,5.75,38.0,4.4,18.0,14.0,42.35843,-71.05977
154,Angora,female,True,white,solid,amber,TRUE,wet,USA,5.75,38.0,3.2,25.0,15.0,42.35843,-71.05977
155,Angora,female,True,white,solid,blue,FALSE,wet,USA,5.75,31.0,3.1,9.0,15.0,40.71427,-74.00597
156,Angora,female,True,white,solid,green,FALSE,wet,USA,5.92,39.0,4.8,12.0,16.0,42.35843,-71.05977
157,Ankora,male,False,white,dirty,green,FALSE,dry,USA,5.92,38.0,4.3,26.0,13.0,40.71427,-74.00597
158,Ankora,male,True,white,solid,amber,FALSE,wet,USA,5.92,41.0,3.9,29.0,13.0,42.35843,-71.05977
159,Ankora,female,True,white,solid,amber,FALSE,dry,USA,5.92,36.0,4.7,29.0,16.0,40.71427,-74.00597
160,Angora,male,False,white,solid,blue,FALSE,wet,USA,6.0,36.0,4.8,33.0,17.0,40.71427,-74.00597
161,Angora,female,False,white,solid,green,FALSE,dry,France,6.0,36.0,3.6,26.0,13.0,45.76342,4.834277
162,Angora,male,True,white,solid,blue,FALSE,wet,USA,6.08,38.0,4.4,16.0,14.0,37.77493,-122.41942
163,Angora,female,True,white,solid,blue,FALSE,wet,USA,6.08,38.0,3.4,38.0,16.0,38.89511,-77.03637
164,Angora,male,False,white,solid,blue,FALSE,dry,USA,6.08,41.0,3.7,39.0,16.0,40.71427,-74.00597
165,Angora,male,False,white,solid,blue,FALSE,wet,USA,6.25,39.0,4.2,24.0,13.0,37.77493,-122.41942
166,Angora,male,False,white,solid,amber,FALSE,wet,France,6.25,38.0,3.6,23.0,16.0,43.61166,3.87771
167,Angora,male,False,white,solid,amber,FALSE,wet,USA,6.25,41.0,4.4,24.0,13.0,39.29038,-76.61219
168,Angora,male,False,white,solid,green,FALSE,dry,USA,6.33,37.0,3.1,30.0,13.0,40.71427,-74.00597
169,Angora,male,True,white,solid,amber,FALSE,wet,USA,6.42,36.0,4.7,12.0,16.0,41.881832,-87.623177
170,Angora,male,True,red/cream,solid,blue,FALSE,wet,USA,6.5,37.0,4.5,30.0,17.0,47.60621,-122.33207
171,Angora,male,True,white,solid,blue,TRUE,dry,USA,6.5,36.0,4.0,18.0,16.0,41.881832,-87.623177
172,Angora,male,False,black,bicolor,amber,FALSE,wet,USA,6.5,39.0,4.2,15.0,17.0,47.60621,-122.33207
173,Angora,female,False,white,solid,blue,FALSE,wet,USA,6.5,34.0,3.8,21.0,14.0,42.35843,-71.05977
174,Angora,female,True,white,solid,blue,FALSE,wet,USA,6.5,38.0,5.2,9.0,13.0,40.71427,-74.00597
175,Angorra,male,False,red/cream,tabby,blue,FALSE,wet,USA,6.58,40.0,4.2,12.0,14.0,39.29038,-76.61219
176,Angora,male,True,red/cream,tabby,green,FALSE,dry,USA,6.58,41.0,3.8,23.0,16.0,40.71427,-74.00597
177,Angora,male,False,white,solid,amber,FALSE,dry,Canada,6.58,41.0,3.9,16.0,17.0,43.65107,-79.347015
178,Angora,male,True,white,solid,blue,FALSE,dry,Canada,6.67,40.0,4.8,13.0,14.0,51.049999,-114.066666
179,Angora,female,False,white,solid,amber,FALSE,dry,Canada,6.67,34.0,2.2,34.0,17.0,43.65107,-79.347015
180,Angora,female,False,white,solid,blue,FALSE,dry,Canada,6.75,37.0,2.4,16.0,14.0,45.42153,-75.697193
181,Angora,male,True,white,solid,amber,FALSE,dry,Canada,6.75,39.0,4.4,24.0,14.0,49.246292,-123.116226
182,Angora,male,True,white,solid,blue,TRUE,wet,my country,6.75,40.0,4.5,17.0,14.0,43.65107,-79.347015
183,Angora,female,False,white,solid,amber,FALSE,dry,Canada,6.83,37.0,2.8,36.0,14.0,45.508888,-73.561668
184,Angora,male,True,white,solid,blue,FALSE,wet,Canada,6.92,41.0,4.7,26.0,14.0,43.65107,-79.347015
185,Angora,male,True,white,solid,amber,FALSE,wet,Canada,6.92,38.0,4.5,32.0,16.0,45.508888,-73.561668
186,Ragdoll,female,True,white,solid,amber,FALSE,wet,Canada,6.92,39.0,4.3,22.0,14.0,49.246292,-123.116226
187,Ragdoll,male,True,seal,dirty,blue,TRUE,dry,Canada,7.0,43.903435468895076,5.740900649953575,20.0,14.0,49.246292,-123.116226
188,Ragdoll,male,True,white,solid,amber,FALSE,dry,Canada,7.0,39.0,4.4,16.0,14.0,51.049999,-114.066666
189,Ragdoll,female,False,white,solid,blue,FALSE,wet,Canada,7.08,35.0,2.5,27.0,14.0,45.42153,-75.697193
190,Ragdoll,male,True,white,solid,amber,FALSE,wet,Canada,7.17,40.0,5.4,9.0,20.0,49.246292,-123.116226
191,Ragdoll,male,False,white,solid,green,FALSE,wet,Canada,7.25,39.0,4.0,37.0,20.0,49.246292,-123.116226
192,Angora,male,True,white,solid,amber,FALSE,dry,Canada,7.25,36.0,4.9,29.0,19.0,45.508888,-73.561668
193,Angora,male,False,white,solid,amber,FALSE,wet,Canada,7.25,38.0,4.4,27.0,16.0,49.246292,-123.116226
194,Angora,female,False,black,bicolor,amber,FALSE,dry,Canada,7.25,33.0,4.0,16.0,14.0,51.049999,-114.066666
195,Angora,male,False,white,solid,blue,FALSE,dry,Canada,7.25,40.0,4.2,17.0,19.0,51.049999,-114.066666
196,Angora,male,True,red/cream,tabby,blue,FALSE,wet,USA,7.25,40.0,5.4,12.0,20.0,47.60621,-122.33207
197,Angora,female,True,white,solid,blue,FALSE,dry,USA,7.25,33.0,2.5,23.0,18.0,38.89511,-77.03637
198,Angora,male,False,black,bicolor,blue,FALSE,dry,USA,7.33,41.0,3.9,27.0,14.0,37.77493,-122.41942
199,Angora,female,True,white,solid,blue,TRUE,dry,USA,-7.416666667,35.0,3.9,25.0,19.0,42.35843,-71.05977
200,Angora,female,True,white,solid,amber,FALSE,wet,USA,-7.416666667,34.0,3.3,32.0,14.0,40.71427,-74.00597
201,Angora,male,True,white,solid,amber,FALSE,wet,USA,-7.583333333,39.0,5.4,5.0,14.0,40.71427,-74.00597
202,Angora,male,True,red/cream,tabby,blue,FALSE,wet,USA,-7.583333333,40.0,5.5,14.0,14.0,38.89511,-77.03637
203,Angora,male,False,white,solid,blue,FALSE,wet,USA,-7.666666667,36.0,4.9,31.0,18.0,38.89511,-77.03637
204,Angora,male,True,black,solid,blue,FALSE,wet,USA,7.67,40.0,5.3,39.0,18.0,40.71427,-74.00597
205,Angora,female,True,white,solid,blue,TRUE,wet,USA,7.75,33.0,3.1,26.0,18.0,38.89511,-77.03637
206,Angora,male,True,white,solid,green,FALSE,wet,USA,7.75,42.0,4.7,16.0,14.0,45.52345,-122.67621
207,Angora,female,False,white,solid,green,FALSE,dry,USA,7.75,37.0,2.8,28.0,18.0,47.60621,-122.33207
208,Angora,male,True,white,solid,blue,FALSE,wet,USA,7.75,37.0,4.2,15.0,18.0,38.89511,-77.03637
209,Angora,male,False,black,solid,blue,FALSE,wet,USA,7.75,41.0,3.8,30.0,20.0,40.71427,-74.00597
210,Angora,male,False,white,solid,amber,FALSE,wet,USA,7.83,37.0,3.5,25.0,14.0,42.35843,-71.05977
211,Angora,male,True,white,solid,amber,FALSE,wet,USA,7.83,38.0,4.6,37.0,14.0,40.71427,-74.00597
212,Angora,male,True,white,solid,amber,FALSE,dry,USA,7.83,38.0,4.0,27.0,16.0,39.29038,-76.61219
213,Angora,male,True,white,solid,amber,FALSE,wet,USA,7.83,40.0,5.3,25.0,18.0,38.89511,-77.03637
214,Angora,female,True,white,bicolor,blue,TRUE,wet,USA,7.83,33.0,4.0,10.0,16.0,42.35843,-71.05977
215,Angorra,male,False,white,solid,blue,FALSE,wet,USA,7.83,40.0,4.3,25.0,18.0,42.35843,-71.05977
216,Angorra,male,True,red/cream,solid,blue,FALSE,wet,where I live,7.83,39.0,5.0,24.0,16.0,40.71427,-74.00597
217,Angorra,male,True,white,solid,blue,FALSE,wet,USA,7.92,39.0,3.8,32.0,19.0,37.77493,-122.41942
218,Angorra,female,False,black,solid,blue,FALSE,wet,USA,8.0,37.0,3.4,29.0,17.0,42.35843,-71.05977
219,Angorra,male,False,white,solid,blue,FALSE,dry,USA,8.0,36.0,4.5,28.0,16.0,45.52345,-122.67621
220,Angora,female,True,white,solid,amber,FALSE,wet,USA,8.0,34.0,4.9,17.0,19.0,40.71427,-74.00597
221,Angora,male,False,red/cream,solid,blue,FALSE,dry,USA,7.17,36.0,3.5,29.0,20.0,38.89511,-77.03637
222,Angora,female,False,white,solid,amber,FALSE,wet,USA,8.08,33.0,3.1,18.0,19.0,40.71427,-74.00597
223,Angora,male,True,black,bicolor,amber,TRUE,wet,USA,8.08,41.0,4.2,9.0,18.0,42.35843,-71.05977
224,Angora,male,True,red/cream,tabby,blue,FALSE,wet,with me,8.08,37.0,3.8,27.0,16.0,41.881832,-87.623177
